state,state_delta7_confirmed,state_delta7_recovered,state_delta7_deceased,state_delta7_tested,state_delta7_vaccinated_1,state_delta7_vaccinated_2
AN,3,5,0,8936,884,10640
AP,2873,3590,30,254532,1223010,1887005
AR,66,97,0,4788,3312,23647
AS,2056,2215,24,269097,274869,849889
BR,40,31,0,1378539,1286708,2144970
CH,28,20,0,10726,3680,21641
CT,205,103,5,147451,379374,604260
DL,267,239,0,395086,160323,269146
DN,0,2,0,0,2802,14244
GA,222,409,6,19026,8418,46494
GJ,159,116,2,328489,335172,1660382
HP,1537,1154,20,64352,13244,234011
HR,95,87,0,148110,160777,368141
JH,137,250,3,464579,299587,428313
JK,611,572,3,254608,33383,414843
KA,2347,2339,75,724215,623591,1373861
KL,53326,48406,3089,506604,109805,792534
LA,58,28,0,2475,525,1532
LD,0,0,0,1625,69,796
MH,8117,15146,200,773516,1611778,1282938
ML,256,460,4,13944,7871,41927
MN,439,652,10,12787,7665,71276
MP,105,74,1,393209,148817,2034460
MZ,4098,5685,21,42841,4302,11262
NL,130,144,6,4606,4706,23628
OR,3046,3230,24,473919,731837,917236
PB,192,162,8,221114,200182,223256
PY,278,315,0,21095,8324,20073
RJ,27,26,0,95132,271500,864947
SK,79,76,2,2847,782,14044
TG,1189,1121,9,261086,1072389,961422
TN,7407,8852,97,858304,788134,1578082
TR,87,62,0,22126,4155,74642
UP,63,58,1,1140736,2266921,3130828
UT,75,74,1,83377,25250,258381
WB,6453,5953,86,300114,3809597,1871612
